"Gene","Cluster","logFC","pValue","padj"
"V14030",2,0.974255222469122,0.00204225358277748,0.050108885414346
"V39346",2,0.954315069035313,0.00205672715839744,0.050108885414346
"V13191",3,0.964253816932941,0.0020757799859072,0.050108885414346
"V44160",2,0.967629015893463,0.00207614176176612,0.050108885414346
"V2838",1,0.977728964044102,0.00210395535988411,0.050108885414346
"V38520",2,0.95284488229751,0.00211083960883819,0.050108885414346
"V15182",3,0.968586363820754,0.00211552233505731,0.050108885414346
"V11572",3,0.980573117156392,0.00212147622294959,0.050108885414346
"V38061",3,0.97130029349177,0.00212157096892718,0.050108885414346
"V24563",3,0.974300393051087,0.00212454073608759,0.050108885414346
"V15865",2,0.948575441094902,0.00212474313925963,0.050108885414346
"V41343",3,0.973546046687061,0.00212848572776198,0.050108885414346
"V17802",1,0.972540175918308,0.00213484369783981,0.050108885414346
"V8483",1,0.978124903803982,0.00214666939789796,0.050108885414346
"V21367",3,0.973031096682541,0.00216505357246272,0.050108885414346
"V6505",1,0.964049023058215,0.00216626902490352,0.050108885414346
"V8904",1,0.983246943716471,0.00216728848813187,0.050108885414346
"V35388",1,0.961661396176736,0.00217029763464164,0.050108885414346
"V39803",1,0.972645130143973,0.00217189038531601,0.050108885414346
"V15616",2,0.9600181000397,0.00217236918931376,0.050108885414346
"V11186",1,0.958523815116543,0.00221205519414183,0.050108885414346
"V44920",2,0.964592717075523,0.00221534545254539,0.050108885414346
"V25935",1,0.939412326586798,0.00224376125956869,0.050108885414346
"V13770",1,0.97519131113122,0.00226346333168288,0.050108885414346
"V32006",1,0.96485134492748,0.00226645869575829,0.050108885414346
"V21225",2,0.962934504878663,0.00226707899297025,0.050108885414346
"V25811",2,0.956753694981638,0.00226728565739328,0.050108885414346
"V5296",1,0.969709913055271,0.00226973586304854,0.050108885414346
"V21129",2,0.954756249571018,0.00227164483557542,0.050108885414346
"V25920",1,0.961994867034361,0.00228314154873889,0.050108885414346
"V25385",1,0.982410784004941,0.0023160844735376,0.050108885414346
"V34663",2,0.961296083765597,0.00231719381534785,0.050108885414346
"V22437",2,0.969438319921076,0.00231995771007398,0.050108885414346
"V15258",2,0.955678297478452,0.00232173228307508,0.050108885414346
"V11074",2,0.961844057351967,0.00235109649980006,0.050108885414346
"V11346",1,0.949137924852519,0.00236356787617863,0.050108885414346
"V44724",2,0.966275067441092,0.00237483394529323,0.050108885414346
"V8050",1,0.96944560558521,0.00237669949097959,0.050108885414346
"V43884",2,0.959642653242056,0.00237853296757223,0.050108885414346
"V643",2,0.950242047489303,0.00238214531426747,0.050108885414346
"V42776",2,0.967651039376027,0.00238359681041415,0.050108885414346
"V20831",3,0.965608722234544,0.00239705975128499,0.050108885414346
"V32211",1,0.979626506684411,0.00241165764060675,0.050108885414346
"V9110",1,0.978138850727,0.00242471331990736,0.050108885414346
"V28054",2,0.945612250076237,0.0024266647743055,0.050108885414346
"V11881",1,0.972899643448979,0.00242685126757166,0.050108885414346
"V29582",1,0.977672131350061,0.00243883432136466,0.050108885414346
"V23900",1,0.966594621339857,0.00244435702614053,0.050108885414346
"V19290",1,0.980744595945664,0.00246551972949993,0.050108885414346
"V22907",2,0.940935435728879,0.00246573435680461,0.050108885414346
"V23732",3,0.971143461741781,0.00246696073550404,0.050108885414346
"V39361",2,0.965209291481687,0.0024794784528773,0.050108885414346
"V25878",1,0.971591399788551,0.00248112903180108,0.050108885414346
"V39430",1,0.976437148773083,0.00248835706139905,0.050108885414346
"V7280",1,0.97971444493939,0.00249239583184268,0.050108885414346
"V17253",2,0.961412474017534,0.00249552708385837,0.050108885414346
"V26567",1,0.973574686124306,0.00251389092436614,0.050108885414346
"V14355",2,0.960489902180185,0.00251872550254877,0.050108885414346
"V10557",2,0.957704954130291,0.00253236951986485,0.050108885414346
"V12195",3,0.981671576705246,0.00254714607821154,0.050108885414346
"V8544",1,0.971966238615101,0.00255810822937026,0.050108885414346
"V14703",1,0.973093487504442,0.00255907846269506,0.050108885414346
"V7199",1,0.971644307330862,0.00256191892427599,0.050108885414346
"V18179",1,0.962659679260242,0.00256397383483405,0.050108885414346
"V31888",1,0.980999482326795,0.00256644211213022,0.050108885414346
"V37908",1,0.979274465060868,0.00256658761916601,0.050108885414346
"V15559",2,0.96441852689811,0.00258741152944314,0.050108885414346
"V28091",2,0.954576003734515,0.00259032297163198,0.050108885414346
"V44461",1,0.980349536891279,0.00259373516676654,0.050108885414346
"V7052",1,0.969820206318143,0.00259923204939147,0.050108885414346
"V2188",1,0.969517796465264,0.0025993069463879,0.050108885414346
"V40223",2,0.968984955683801,0.00260618830164916,0.050108885414346
"V16124",1,0.97060339717372,0.00260947996462671,0.050108885414346
"V43120",1,0.952444724733437,0.00262746018244953,0.050108885414346
"V32632",3,0.929603011743478,0.00264434768197368,0.050108885414346
"V6063",1,0.981165850646917,0.00264704058744884,0.050108885414346
"V21692",1,0.978871719988414,0.00265056264187824,0.050108885414346
"V31166",1,0.964380932064946,0.00265181827189444,0.050108885414346
"V30690",1,0.970636652764559,0.00265718655388466,0.050108885414346
"V40968",3,0.982619942046292,0.00266389280652504,0.050108885414346
"V38163",1,0.960593042376252,0.00268170333708047,0.050108885414346
"V44203",2,0.954672982290738,0.00268610276515635,0.050108885414346
"V15472",1,0.973348177075218,0.00269103786800487,0.050108885414346
"V21316",1,0.975235644408471,0.0026918954427409,0.050108885414346
"V38660",1,0.975417642432994,0.00269287782951409,0.050108885414346
"V28562",2,0.979514185673984,0.00270021986517416,0.050108885414346
"V25994",3,0.972493081853819,0.00270134504582629,0.050108885414346
"V12928",2,0.968155608389219,0.00271099320965365,0.050108885414346
"V11072",1,0.972813423434356,0.00271621005398684,0.050108885414346
"V11091",1,0.975836011010582,0.00271932177800103,0.050108885414346
"V26823",1,0.977144413939867,0.00272950926356762,0.050108885414346
"V26537",3,0.977049207398093,0.00273307953160864,0.050108885414346
"V26407",1,0.974323810548712,0.00274164470607366,0.050108885414346
"V29208",2,0.973040717429586,0.00276384907676897,0.050108885414346
